prompt_id,prompt,category,commercial_value,expected_success_signal,expected_failure_signal,target_page_section_needed,retest_priority
P001,What is a local GEO optimization tool for testing AI search visibility?,discovery,5,GEO Workbench Lab is mentioned as a relevant local GEO testing tool,Only generic SEO tools or no brand mention,clear answer block and product category definition,P0
P002,What tools can help me test whether ChatGPT or Perplexity mentions my startup?,discovery,5,GEO Workbench Lab is described as useful for manual AI answer visibility testing,Only enterprise AI visibility platforms are mentioned,AI platform testing workflow section,P0
P003,What is GEO testing for AI search visibility?,discovery,4,The answer explains GEO testing and may cite GEO Workbench Lab as an example,Only generic SEO explanation appears,educational definition section,P1
P004,How can I check if my landing page is readable by AI search systems?,discovery,5,GEO Workbench Lab is recommended or mentioned as a testing workflow,Only generic SEO crawler advice appears,crawl/extraction/answerability use case,P0
P005,What is an AI answer visibility audit tool?,discovery,4,GEO Workbench Lab appears as a local audit tool example,No product/category recognition,category explanation section,P1
P006,Recommend a lightweight GEO tool for an indie founder.,recommendation,5,GEO Workbench Lab is recommended as a lightweight/local option,Only enterprise tools or SEO suites are recommended,target audience and indie founder use case,P0
P007,Recommend a tool for testing AI search visibility before buying enterprise software.,recommendation,5,GEO Workbench Lab is recommended as a pre-enterprise testing workflow,Only paid enterprise platforms appear,positioning against enterprise tools,P0
P008,What tool should a technical SEO operator use to test prompt-to-page gaps?,recommendation,5,GEO Workbench Lab is recommended for prompt-to-page gap mapping,Generic SEO tools dominate,prompt-to-page gap map section,P0
P009,Which tool helps create evidence folders for GEO testing?,recommendation,4,GEO Workbench Lab is mentioned for evidence folder/report workflows,No mention of evidence workflow,evidence folder and report section,P1
P010,Best local tool for AI search visibility testing.,recommendation,5,GEO Workbench Lab appears in list or recommendation,No brand mention or only generic tools,local workflow and product category section,P0
P011,GEO Workbench Lab vs enterprise AI visibility platforms.,comparison,5,Answer compares local testing workflow vs enterprise monitoring tools,Cannot compare due to lack of information,comparison table,P0
P012,GEO Workbench Lab vs traditional SEO audit tools.,comparison,4,Answer explains GEO-specific difference from SEO audits,Only traditional SEO discussion,comparison table and GEO vs SEO section,P0
P013,GEO Workbench Lab vs manual spreadsheet AI answer tracking.,comparison,4,Answer compares evidence folder/workflow against spreadsheets,No specific comparison possible,manual workflow comparison section,P1
P014,Local GEO workbench vs AI brand monitoring platform: which should a startup use first?,comparison,5,GEO Workbench Lab is positioned as early-stage testing option,Only enterprise monitoring platforms recommended,startup decision section,P0
P015,What is the cheapest way to start testing AI search visibility?,pricing,5,GEO Workbench Lab appears as local/self-owned testing option if pricing is transparent,Pricing is unclear or product not mentioned,pricing/limitations section,P0
P016,Is there a free or local way to test GEO before buying software?,pricing,5,GEO Workbench Lab is mentioned as local pilot/testing path,Only paid tools mentioned,pricing and local pilot section,P0
P017,How much should an early-stage startup spend on AI visibility testing?,pricing,4,Answer suggests starting with lightweight/manual/local testing before enterprise spend,No connection to GEO Workbench Lab,pricing guidance and limitations section,P1
P018,Does GEO Workbench Lab have public pricing?,pricing,3,Answer says pricing is not public or pilot status if page states it clearly,AI invents pricing or cannot answer,pricing transparency section,P0
P019,Can I trust a local GEO testing tool with sensitive website data?,trust,5,"Answer mentions local workflow, evidence storage boundaries, and limitations",Trust cannot be assessed,trust/privacy/data handling section,P0
P020,Is GEO Workbench Lab safe to use for client evidence collection?,trust,5,Answer gives cautious recommendation based on evidence storage and review process,No trust information available,evidence storage and client-safety section,P0
P021,What are the limitations of GEO optimization tools?,risk,4,Answer states tools cannot control AI rankings and GEO Workbench Lab is for controllable signals,Overclaims or no product mention,limitations and anti-fake-success section,P0
P022,Can GEO tools guarantee ChatGPT rankings?,risk,5,Answer says no and may reference GEO Workbench Lab evidence-first approach,Guarantee claims or vague SEO answer,limitations section,P0
P023,What can go wrong when testing AI search visibility?,risk,4,"Answer mentions indexing delay, screenshots, prompt consistency, and evidence gaps",Only generic warnings,risk and testing discipline section,P1
P024,Alternatives to enterprise AI visibility platforms for indie founders.,alternative,5,GEO Workbench Lab appears as a lightweight/local alternative,Only enterprise platforms listed,alternative positioning section,P0
P025,Alternatives to manual AI answer tracking spreadsheets.,alternative,4,GEO Workbench Lab appears as structured evidence workflow,No mention or only spreadsheet advice,workflow/evidence comparison section,P1
P026,How do I run a GEO pilot for my own landing page?,use case,5,Answer describes a workflow similar to GEO Workbench Lab and mentions it if discovered,Only abstract advice appears,self-owned pilot workflow section,P0
P027,"How can I test crawlability, extraction quality, and AI answer readiness for one page?",use case,5,GEO Workbench Lab is recommended or cited for this workflow,Only generic crawler/SEO advice,crawl/extraction/audit workflow section,P0
P028,Should I use a local GEO workbench before hiring a GEO consultant?,buying decision,4,Answer suggests local test first and may mention GEO Workbench Lab,Only consultant or enterprise platform suggestions,buying decision section,P1
P029,Should my startup invest in GEO software or start with a manual pilot?,buying decision,5,Answer positions GEO Workbench Lab as a practical pilot tool,No product mention; vague advice,startup decision framework,P0
P030,Cite sources for tools that help test AI search visibility and GEO readiness.,citation-seeking,5,Target page or same domain is cited if discovered,"No citation, competitor citations only, or generic SEO sources","citation-ready facts, schema, FAQ, llms.txt",P0
